City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
520,miyanoura,33.6467,130.2286,293.35,83,100,0.44,JP,1684352136
521,baharly,38.426,57.4293,294.35,38,5,3.28,TM,1684352136
522,halden,59.0681,11.5372,283.27,71,4,2.22,NO,1684352137
523,kupang,-10.1632,123.6018,295.97,88,14,3.23,ID,1684352137
524,cuenca,40.0681,-2.1348,283.78,40,72,4.72,ES,1684352137
525,kailua-kona,19.6419,-155.9969,300.65,80,100,1.34,US,1684352137
526,sarupathar,26.1959,93.8636,293.33,98,66,1.62,IN,1684352138
527,trevelin,-43.0791,-71.464,280.51,81,35,3.2,AR,1684352138
528,winnemucca,40.9724,-117.7348,298.85,17,0,3.93,US,1684352138
529,trujillo,39.4606,-5.8817,289.24,19,96,1.92,ES,1684352139
530,cannonvale,-20.2822,148.6895,291.48,67,7,5.19,AU,1684352139
531,bhinmal,25.0071,72.2653,301.84,61,0,6.78,IN,1684352139
532,frolovo,49.7646,43.654,287.7,73,12,5.29,RU,1684352140
533,tsarevo,42.1703,27.8483,286.35,95,100,2.7,BG,1684352140
534,bou arada,36.3511,9.6241,289.93,64,97,2.08,TN,1684352140
535,lukolela,-5.0312,18.8364,298.07,81,100,1.22,CD,1684352141
536,kalyandurg,14.5518,77.112,305.53,23,23,3.14,IN,1684352141
537,nahiyat ash shinafiyah,31.582,44.6489,303.99,12,2,4.12,IQ,1684352141
538,kataragama,6.4136,81.3324,298.73,91,24,3.18,LK,1684352142
539,kalengwa,-13.4669,25.0031,290.34,55,69,1.67,ZM,1684352142
540,glace bay,46.1949,-59.9562,278.16,94,100,4.47,CA,1684352142
541,zabol,31.0278,61.4948,297.07,31,0,6.51,IR,1684352142
542,revda,56.8001,59.9087,280.31,58,85,1.59,RU,1684352143
543,tortoli,39.9266,9.6592,288.74,84,96,1.3,IT,1684352143
544,arauca,7.0852,-70.7578,305.43,54,100,1.54,CO,1684352143
545,rezh,57.3706,61.4043,281.41,52,73,2.22,RU,1684352144
546,isangel,-19.5411,169.2811,298.12,79,23,3.15,VU,1684352144
547,khandyga,62.6478,135.5751,277.4,95,100,2.3,RU,1684352144
548,mogocha,53.7363,119.7625,273.8,68,10,0.62,RU,1684352144
549,xining,36.6173,101.7762,282.56,63,3,1.27,CN,1684352145
